Seller ID,Buyer ID,Value
1309,1011,1225513
1309,1011,1179061
1309,1011,1119561
1309,1011,1200934
1309,1011,1658957
1309,1011,1773165
1309,1011,1688506
1309,1011,1805376
1309,1011,1327164
1309,1011,1327539
1309,1011,1678782
1259,1011,1727328
1259,1011,1710778
1259,1011,1694993
1568,1011,195998
1568,1011,284616
1568,1011,240862
1568,1011,354896
1568,1011,318282
1568,1011,342304
1568,1011,250189
1568,1011,279570
1568,1011,254880
1568,1011,466749
1568,1011,202205
1568,1011,310865
1568,1011,234584
1568,1011,252809
1568,1011,225722
1568,1011,261359
1568,1011,343631
1568,1011,545433
1568,1011,756892
1568,1011,217674
1568,1011,782794
1147,1011,1827419
1393,1011,303307.2
1147,1011,1795832
1568,1011,200470
1393,1011,370510.56
1393,1011,311787.86
1393,1011,741318.48
1393,1011,313673.5
1393,1011,356265.6
1393,1011,648935.1
1393,1011,450076.78
1393,1011,339840
1147,1011,1783505
1147,1011,1784698
1393,1011,284970
1393,1011,481640.6
1393,1011,493617.6
1393,1011,356194.8
1393,1011,366390
1393,1011,327684.82
1393,1011,162255.9
1393,1011,212187.6
1393,1011,424271.36
1393,1011,770304
1393,1011,442098.8
1147,1011,1564474
1393,1011,346311.12
1147,1011,1782709
1393,1011,442974.36
1393,1011,361504.8
1393,1011,513834.54
1147,1011,778666
1393,1011,405896.4
1393,1011,416803.14
1393,1011,359640.4
1393,1011,193000.8
1393,1011,397453.5
1393,1011,259260.76
1147,1011,1845026
1393,1011,661077.3
1147,1011,1130685
1393,1011,374602.8
1393,1011,408303.6
1393,1011,823389.84
1393,1011,182868.14
1147,1011,1163131
1393,1011,504917.28
1393,1011,629140.6
1309,1011,1312202
1309,1011,1710960
1309,1011,1138360
1309,1011,1704500
1309,1011,1187015
1309,1011,1713218
1309,1011,1892300
1309,1011,1137980
1039,1011,1227146.9
1039,1011,1220285.8
1039,1011,788715.54
1039,1011,2023770.22
1039,1011,1716910.62
1039,1011,682337.94
1039,1011,1180085.54
1039,1011,1242622.6
1039,1011,1119913.22
1039,1011,1041256.2
1039,1011,1141133.16
1039,1011,888377.16
1039,1011,1268261.64
1039,1011,1745430.64
1210,1005,2071199.5
1210,1005,1652840.5
1210,1005,2088539.5
1042,1005,1617087
1042,1005,2022549
1042,1005,1927790
1042,1005,2238195
1042,1005,1863189
1042,1005,2300882
1042,1005,2224654
1042,1005,1924916.5
1042,1005,1758595
1042,1005,2014438.5
1042,1005,2014951
1042,1005,2289850
1042,1005,1462993
1042,1005,1814481.5
1042,1005,2196069
1042,1005,2193335
1042,1005,2178187
1042,1005,1837137
1042,1005,1988801.5
1210,1005,2248947.5
1210,1005,2113469
1210,1005,2168744.5
1210,1005,2360039.75
1210,1005,2095042.5
1210,1005,2161157
1042,1005,1733472.5
1042,1005,2377827.5
1042,1005,2094765
1042,1005,1999481
1042,1005,1453021
1042,1005,2307492.5
1042,1005,1862674.5
1042,1005,1527748.5
1042,1005,2342507
1042,1005,1815931
1042,1005,2333982
1042,1005,2319437
1042,1005,2251233
1042,1005,1793966
1042,1005,1905199
1042,1005,2184033
1042,1005,1996974
1042,1005,1963679
